datetime, albedo, sky, ground, has_fix, latitude, longitude, altitude, satelites, hdop #, gps_data
2017-07-20 18:30:52.000000, , 0.0, 0.1046875, true, 42.40504333333333, -85.40071, 266.3, 6, 1.98 #, %XGPS.GpsData{altitude: {266.3, :meter}, angle: 351.47, date: ~D[2017-07-20], fix_quality: 1, geoidheight: {-34.1, :meter}, has_fix: true, hdop: 1.98, latitude: 42.40504333333333, longitude: -85.40071, magvariation: nil, satelites: 6, speed: 0.70376, time: ~T[18:30:52.000000]}
2017-07-20 18:30:53.000000, 0.7657142857142857, 0.13671875, 0.1046875, true, 42.405045, -85.40071, 266.3, 6, 1.98 #, %XGPS.GpsData{altitude: {266.3, :meter}, angle: 1.35, date: ~D[2017-07-20], fix_quality: 1, geoidheight: {-34.1, :meter}, has_fix: true, hdop: 1.98, latitude: 42.405045, longitude: -85.40071, magvariation: nil, satelites: 6, speed: 0.6482, time: ~T[18:30:53.000000]}
2017-07-20 18:30:54.000000, 0.7657142857142857, 0.13671875, 0.1046875, true, 42.40504833333333, -85.40070833333333, 266.3, 6, 1.52 #, %XGPS.GpsData{altitude: {266.3, :meter}, angle: 24.38, date: ~D[2017-07-20], fix_quality: 1, geoidheight: {-34.1, :meter}, has_fix: true, hdop: 1.52, latitude: 42.40504833333333, longitude: -85.40070833333333, magvariation: nil, satelites: 6, speed: 0.61116, time: ~T[18:30:54.000000]}
2017-07-20 18:30:56.000000, 0.7657142857142857, 0.13671875, 0.1046875, true, 42.40505, -85.40070666666666, 266.3, 6, 1.52 #, %XGPS.GpsData{altitude: {266.3, :meter}, angle: 48.62, date: ~D[2017-07-20], fix_quality: 1, geoidheight: {-34.1, :meter}, has_fix: true, hdop: 1.52, latitude: 42.40505, longitude: -85.40070666666666, magvariation: nil, satelites: 6, speed: 0.5926400000000001, time: ~T[18:30:56.000000]}
2017-07-20 18:30:57.000000, 0.7657142857142857, 0.13671875, 0.1046875, true, 42.40505, -85.400705, 266.3, 6, 1.52 #, %XGPS.GpsData{altitude: {266.3, :meter}, angle: 42.52, date: ~D[2017-07-20], fix_quality: 1, geoidheight: {-34.1, :meter}, has_fix: true, hdop: 1.52, latitude: 42.40505, longitude: -85.400705, magvariation: nil, satelites: 6, speed: 0.5926400000000001, time: ~T[18:30:57.000000]}
2017-07-20 18:30:58.000000, 0.7657142857142857, 0.13671875, 0.1046875, true, 42.405051666666665, -85.40070333333334, 266.3, 6, 1.52 #, %XGPS.GpsData{altitude: {266.3, :meter}, angle: 37.45, date: ~D[2017-07-20], fix_quality: 1, geoidheight: {-34.1, :meter}, has_fix: true, hdop: 1.52, latitude: 42.405051666666665, longitude: -85.40070333333334, magvariation: nil, satelites: 6, speed: 0.70376, time: ~T[18:30:58.000000]}
2017-07-20 18:30:59.000000, 0.7657142857142857, 0.13671875, 0.1046875, true, 42.405053333333335, -85.40070333333334, 266.3, 6, 1.52 #, %XGPS.GpsData{altitude: {266.3, :meter}, angle: 22.61, date: ~D[2017-07-20], fix_quality: 1, geoidheight: {-34.1, :meter}, has_fix: true, hdop: 1.52, latitude: 42.405053333333335, longitude: -85.40070333333334, magvariation: nil, satelites: 6, speed: 0.7408000000000001, time: ~T[18:30:59.000000]}
2017-07-20 18:31:01.000000, 0.7657142857142857, 0.13671875, 0.1046875, true, 42.40505666666667, -85.40070166666666, 266.3, 6, 1.98 #, %XGPS.GpsData{altitude: {266.3, :meter}, angle: 19.24, date: ~D[2017-07-20], fix_quality: 1, geoidheight: {-34.1, :meter}, has_fix: true, hdop: 1.98, latitude: 42.40505666666667, longitude: -85.40070166666666, magvariation: nil, satelites: 6, speed: 0.8519200000000001, time: ~T[18:31:01.000000]}
2017-07-20 18:31:02.000000, 0.7657142857142857, 0.13671875, 0.1046875, true, 42.40506, -85.4007, 266.3, 6, 1.52 #, %XGPS.GpsData{altitude: {266.3, :meter}, angle: 23.09, date: ~D[2017-07-20], fix_quality: 1, geoidheight: {-34.1, :meter}, has_fix: true, hdop: 1.52, latitude: 42.40506, longitude: -85.4007, magvariation: nil, satelites: 6, speed: 0.88896, time: ~T[18:31:02.000000]}
2017-07-20 18:31:03.000000, 0.7657142857142857, 0.13671875, 0.1046875, true, 42.40506166666667, -85.40069833333334, 266.3, 6, 1.52 #, %XGPS.GpsData{altitude: {266.3, :meter}, angle: 26.5, date: ~D[2017-07-20], fix_quality: 1, geoidheight: {-34.1, :meter}, has_fix: true, hdop: 1.52, latitude: 42.40506166666667, longitude: -85.40069833333334, magvariation: nil, satelites: 6, speed: 0.8519200000000001, time: ~T[18:31:03.000000]}
2017-07-20 18:31:04.000000, 0.7657142857142857, 0.13671875, 0.1046875, true, 42.405065, -85.40069666666666, 266.3, 6, 1.52 #, %XGPS.GpsData{altitude: {266.3, :meter}, angle: 27.17, date: ~D[2017-07-20], fix_quality: 1, geoidheight: {-34.1, :meter}, has_fix: true, hdop: 1.52, latitude: 42.405065, longitude: -85.40069666666666, magvariation: nil, satelites: 6, speed: 0.7963600000000001, time: ~T[18:31:04.000000]}
2017-07-20 18:31:06.000000, 0.7657142857142857, 0.13671875, 0.1046875, true, 42.40506666666667, -85.400695, 266.3, 6, 1.52 #, %XGPS.GpsData{altitude: {266.3, :meter}, angle: 25.43, date: ~D[2017-07-20], fix_quality: 1, geoidheight: {-34.1, :meter}, has_fix: true, hdop: 1.52, latitude: 42.40506666666667, longitude: -85.400695, magvariation: nil, satelites: 6, speed: 0.8519200000000001, time: ~T[18:31:06.000000]}
2017-07-20 18:31:07.000000, , 0.0, 0.1046875, true, 42.40506833333333, -85.40069333333334, 266.3, 6, 1.52 #, %XGPS.GpsData{altitude: {266.3, :meter}, angle: 25.39, date: ~D[2017-07-20], fix_quality: 1, geoidheight: {-34.1, :meter}, has_fix: true, hdop: 1.52, latitude: 42.40506833333333, longitude: -85.40069333333334, magvariation: nil, satelites: 6, speed: 0.81488, time: ~T[18:31:07.000000]}
2017-07-20 18:31:08.000000, 0.7657142857142857, 0.13671875, 0.1046875, true, 42.405071666666664, -85.40069333333334, 266.2, 6, 1.52 #, %XGPS.GpsData{altitude: {266.2, :meter}, angle: 28.42, date: ~D[2017-07-20], fix_quality: 1, geoidheight: {-34.1, :meter}, has_fix: true, hdop: 1.52, latitude: 42.405071666666664, longitude: -85.40069333333334, magvariation: nil, satelites: 6, speed: 0.8519200000000001, time: ~T[18:31:08.000000]}
2017-07-20 18:31:10.000000, 0.7657142857142857, 0.13671875, 0.1046875, true, 42.405075, -85.40069, 266.2, 6, 1.52 #, %XGPS.GpsData{altitude: {266.2, :meter}, angle: 21.2, date: ~D[2017-07-20], fix_quality: 1, geoidheight: {-34.1, :meter}, has_fix: true, hdop: 1.52, latitude: 42.405075, longitude: -85.40069, magvariation: nil, satelites: 6, speed: 0.72228, time: ~T[18:31:10.000000]}
2017-07-20 18:31:11.000000, 0.7657142857142857, 0.13671875, 0.1046875, true, 42.405076666666666, -85.40069, 266.2, 6, 1.52 #, %XGPS.GpsData{altitude: {266.2, :meter}, angle: 15.96, date: ~D[2017-07-20], fix_quality: 1, geoidheight: {-34.1, :meter}, has_fix: true, hdop: 1.52, latitude: 42.405076666666666, longitude: -85.40069, magvariation: nil, satelites: 6, speed: 0.6852400000000001, time: ~T[18:31:11.000000]}
2017-07-20 18:31:12.000000, , 0.0, 0.1046875, true, 42.405078333333336, -85.40068833333333, 266.2, 6, 1.52 #, %XGPS.GpsData{altitude: {266.2, :meter}, angle: 1.76, date: ~D[2017-07-20], fix_quality: 1, geoidheight: {-34.1, :meter}, has_fix: true, hdop: 1.52, latitude: 42.405078333333336, longitude: -85.40068833333333, magvariation: nil, satelites: 6, speed: 0.75932, time: ~T[18:31:12.000000]}
2017-07-20 18:31:14.000000, 0.7657142857142857, 0.13671875, 0.1046875, true, 42.40508166666667, -85.40069, 266.2, 6, 1.99 #, %XGPS.GpsData{altitude: {266.2, :meter}, angle: 1.81, date: ~D[2017-07-20], fix_quality: 1, geoidheight: {-34.1, :meter}, has_fix: true, hdop: 1.99, latitude: 42.40508166666667, longitude: -85.40069, magvariation: nil, satelites: 6, speed: 0.6482, time: ~T[18:31:14.000000]}
2017-07-20 18:31:15.000000, 0.7657142857142857, 0.13671875, 0.1046875, true, 42.40508333333333, -85.40068833333333, 266.2, 7, 1.86 #, %XGPS.GpsData{altitude: {266.2, :meter}, angle: 5.28, date: ~D[2017-07-20], fix_quality: 1, geoidheight: {-34.1, :meter}, has_fix: true, hdop: 1.86, latitude: 42.40508333333333, longitude: -85.40068833333333, magvariation: nil, satelites: 7, speed: 0.5926400000000001, time: ~T[18:31:15.000000]}
2017-07-20 18:31:16.000000, 0.7657142857142857, 0.13671875, 0.1046875, true, 42.405085, -85.40068833333333, 266.2, 7, 1.86 #, %XGPS.GpsData{altitude: {266.2, :meter}, angle: 9.4, date: ~D[2017-07-20], fix_quality: 1, geoidheight: {-34.1, :meter}, has_fix: true, hdop: 1.86, latitude: 42.405085, longitude: -85.40068833333333, magvariation: nil, satelites: 7, speed: 0.48152000000000006, time: ~T[18:31:16.000000]}
2017-07-20 18:31:17.000000, 0.7657142857142857, 0.13671875, 0.1046875, true, 42.405085, -85.40068833333333, 266.2, 7, 1.86 #, %XGPS.GpsData{altitude: {266.2, :meter}, angle: 53.87, date: ~D[2017-07-20], fix_quality: 1, geoidheight: {-34.1, :meter}, has_fix: true, hdop: 1.86, latitude: 42.405085, longitude: -85.40068833333333, magvariation: nil, satelites: 7, speed: 0.50004, time: ~T[18:31:17.000000]}
2017-07-20 18:31:19.000000, 0.7657142857142857, 0.13671875, 0.1046875, true, 42.40508666666667, -85.400685, 266.2, 7, 1.48 #, %XGPS.GpsData{altitude: {266.2, :meter}, angle: 75.9, date: ~D[2017-07-20], fix_quality: 1, geoidheight: {-34.1, :meter}, has_fix: true, hdop: 1.48, latitude: 42.40508666666667, longitude: -85.400685, magvariation: nil, satelites: 7, speed: 0.75932, time: ~T[18:31:19.000000]}
2017-07-20 18:31:20.000000, , 0.0, 0.1046875, true, 42.40508666666667, -85.40068333333333, 266.2, 7, 1.48 #, %XGPS.GpsData{altitude: {266.2, :meter}, angle: 64.95, date: ~D[2017-07-20], fix_quality: 1, geoidheight: {-34.1, :meter}, has_fix: true, hdop: 1.48, latitude: 42.40508666666667, longitude: -85.40068333333333, magvariation: nil, satelites: 7, speed: 0.77784, time: ~T[18:31:20.000000]}
2017-07-20 18:31:21.000000, 0.7657142857142857, 0.13671875, 0.1046875, true, 42.40508833333333, -85.40068, 266.2, 7, 1.48 #, %XGPS.GpsData{altitude: {266.2, :meter}, angle: 75.41, date: ~D[2017-07-20], fix_quality: 1, geoidheight: {-34.1, :meter}, has_fix: true, hdop: 1.48, latitude: 42.40508833333333, longitude: -85.40068, magvariation: nil, satelites: 7, speed: 0.75932, time: ~T[18:31:21.000000]}
